ACTIVITY,TIME,SL,EEG,BP,HR,CIRCLUATION
4,8875.41,11277.9,-3151.4,46,156,654
3,24489.6,254534,-8.95E+03,105,537,8350
5,7420.34,27005.9,-2955.01,97,156,1521
3,9769.07,52069.5,-2.96E+03,28,188,2599
0,19391.9,146844,-11314,72,382,4918
2,2386.19,51.7423,-5.10E+02,96,33,5
0,13963.8,68462,-8036,56,290,2907
2,8937.7,12343.2,-2341.16,77,128,693
4,8976.78,28716.7,-1.99E+03,35,156,1364
2,5402.57,4403.06,-1.06E+03,18,88,292
0,8733.22,15143,-3349,82,152,804
3,9433.17,39091.5,-2.22E+03,26,196,1885
0,17517.7,219415,-12443,306,407,8595
2,17032.1,161412,-7444.33,76,352,6744
2,15037.5,59444.6,-6397.63,161,305,2610
2,18535.8,162020,-6412.84,118,352,6744
5,7662.62,12484.1,-2800.17,72,130,694
0,7564.56,16499,-2797,58,129,887
4,5750.58,7115.45,-1678.1,54,93,545
4,2181.47,58.8884,-6.60E+02,10,33,5
0,4391.81,2788.67,-982.009,36,54,204
0,8675.44,30221,-1765,19,168,1571
2,8733.17,25411.9,-3189.65,29,157,1519
0,5022.81,2826,-1546,10,80,226
0,9244.61,29972,-5500,33,172,1575
2,20522.6,160870,-8.67E+03,95,449,5537
1,5341.85,4263.03,-1.48E+03,14,88,292
2,5349.45,4449.94,-1.07E+03,16,88,292
2,7881.7,9668.24,-2450.62,22,123,621
3,17738.2,138591,-7.36E+03,132,449,5537
3,13774.5,140781,-4.53E+03,42,315,5844
4,9431.17,16796.6,-3790.96,79,172,973
3,5691.63,3970.86,-2.61E+03,19,86,205
0,12139.5,43842,-3198,39,212,1585
4,9601.76,34606.8,-3592.68,87,176,1922
5,7991,4726.8,-1899.66,25,131,271
0,13452.2,113214,-5376,44,248,4521
3,8825.02,20080,-3310.54,86,163,1162
3,5609.1,9899.21,-2.91E+03,27,109,689
0,25814.7,613420,-13770,112,585,18847
0,15247.4,74358,-6678,26,255,2394
3,21996.6,410961,-7.95E+03,65,473,14125
0,13167.9,61614,-8234,52,319,2904
4,8744.16,28699.7,-3417.45,34,179,1626
0,14155.9,111254,-10166,40,298,4528
0,13759.7,79688,-5038,70,283,3298
0,13954,133262,-7038,26,295,5632
0,12070.2,43032,-4328,57,245,1999
2,5756.39,7680.17,-1754.8,72,104,457
4,8576.23,12374,-2475.05,82,128,693
3,13090.8,60803.4,-4.93E+03,29,247,2754
3,18660.5,145631,-6378.38,150,362,5847
4,5958,11268,-1872.91,26,102,764
4,9790.18,33581.5,-3614.37,91,176,1922
0,33257.2,610321,-15472,65,619,15174
3,7075.36,5076.66,-2209.07,61,107,346
0,16082.2,142359,-7970,153,333,5742
3,13063.9,60256.4,-4.97E+03,34,247,2754
3,8285.08,25652,-3220.87,40,157,1519
3,4959.22,3014.46,-1248.36,48,67,224
0,13407.8,62530,-4724,45,270,2754
4,9943.07,34345.6,-4524.66,127,208,1691
2,9308.21,9926.44,-2.88E+03,36,154,587
2,9897.76,10188.4,-1.96E+03,37,154,587
1,5817.2,4798.77,-1.79E+03,24,85,343
4,6941.06,4111.28,-2318.17,69,101,249
2,8364.42,10567.2,-2906.85,96,139,587
0,13434.5,171069,-5772,43,357,7577
3,10272.1,10295,-1.62E+03,37,154,587
3,18154.3,160818,-1.15E+04,84,388,6290
4,10719,38996.6,-3917.03,29,193,2118
2,20798.6,410557,-8.52E+03,57,473,14125
0,4754.58,2945.19,-1519.53,37,79,184
0,18617.2,200155,-7116,90,444,6644
5,12020.3,72141.8,-5726.19,27,262,3211
1,2544.29,56.3223,-3.83E+02,6,33,5
4,8668.52,12739.9,-2589.41,91,136,619
0,6626.61,20382,-2734,109,114,1156
3,9620.67,39337.6,-2.73E+03,15,196,1885
0,10975.7,55595,-4187,30,249,2675
4,9636.48,26113,-3363.22,25,174,1415
4,11785.6,39483.3,-3964.38,114,205,1751
2,8685.93,9617.01,-2574.98,98,130,490
2,3676.38,1345.09,-627.195,33,40,100
0,14654.1,85332,-5187,197,261,2984
3,12485,44168.4,-3.08E+03,34,223,2059
0,9857.7,12319,-4130,84,170,659
1,2567.85,52.6466,-5.48E+02,6,33,5
4,8178.19,4607.22,-2676.89,26,131,271
5,9622.82,51702.9,-3.23E+03,27,188,2599
4,13097.7,61047,-4.49E+03,33,247,2754
4,13561,60537.6,-3.97E+03,29,247,2754
3,18985.4,160065,-9.74E+03,85,388,6290
1,11752.1,69292,-5158.32,145,247,3373
2,4228.65,2185.02,-1032.97,20,54,165
0,15850.4,69007,-6318,77,281,2837
0,12493,85590,-5444,140,253,3377
0,5072.09,3559,-676,21,80,247
3,11533.9,115580,-3.49E+03,48,235,4905
0,16400.2,108034,-9850,101,365,4071
2,5707.76,4148.31,-1546.1,127,88,318
3,4190.31,1993.84,-1074.7,5,63,166
0,16092.3,136041,-7722,53,325,5118
3,4485.21,2061.59,-1020.7,6,63,166
0,6904.21,6044,-2426,19,100,249
4,5711.96,7150.6,-1624.53,50,93,545
3,9365.7,50858.3,-3.60E+03,29,188,2599
0,5075.35,5590,-90,9,80,399
4,10967.8,36793.4,-4.28E+03,42,196,1997
0,13530.1,123155,-8247,46,366,5423
3,13619.4,92746.5,-6.70E+03,71,254,3885
5,7467.28,12109.1,-2872.66,67,130,694
4,11062.9,43221.8,-2.95E+03,15,196,1885
4,9505.14,32561.4,-3515.78,91,176,1922
4,12994.2,56786.4,-3.70E+03,48,224,2192
0,5503.45,3225,-1465,8,94,224
2,12645.5,116286,-2.95E+03,40,235,4905
4,8973.3,27440.4,-2998.05,98,158,1403
2,4691.88,4205.62,-1.82E+03,10,79,317
3,7586.15,25469.2,-3.02E+03,30,166,1414
0,6635.17,9704,-1693,17,103,547
2,3917.4,2152.57,-1111.72,20,54,165
5,12242.1,70522.3,-5586.75,53,262,3211
0,5550.26,4957,-1267,105,86,347
0,8672.79,34826,-3465,26,185,1993
0,13772.9,83728,-8700,215,281,3634
3,24106.8,470943,-1.04E+04,40,483,15505
3,8470.6,13495.3,-2863.77,11,148,729
4,21143.4,335889,-7.83E+03,85,462,11563
2,7909.68,9760.91,-2995.31,96,130,490
4,9960.86,26600.1,-3311.34,29,174,1415
0,6530.69,4519,-2877,18,89,337
0,13169.7,107906,-11311,180,312,4717
4,14157.6,92795.1,-4.96E+03,60,254,3885
4,7891.07,9814.76,-2403.42,15,123,621
2,4995.89,3116.19,-1166.7,38,71,249
1,2462.86,51.9713,-5.72E+02,6,33,5
3,4168.61,2011.19,-1081.67,6,63,166
4,10177.5,53842.8,-2.58E+03,32,188,2599
0,16372.2,247810,-6612,50,345,9119
4,10331.4,28222.9,-2721.22,81,158,1403
3,9414.81,39911.9,-3.10E+03,15,196,1885
2,5581.11,4255.66,-1.06E+03,12,79,317
4,5767.18,7400.19,-1826,72,104,457
0,11893.9,54573,-6826,50,263,2537
4,10950,27047.9,-4264.03,55,214,1469
3,10851.9,38277.6,-4052.84,114,205,1751
0,17042.1,154693,-13761,207,381,6071
0,17863.9,117320,-5667,58,305,4162
0,12481.9,47231,-6258,45,270,1999
4,13734.2,52247.3,-4.63E+03,57,234,2464
3,13844.9,51086.6,-4.52E+03,37,234,2464
2,5230.99,4274.87,-1.66E+03,14,79,317
0,7373.01,12295,-2754,18,137,802
5,8125.45,4739.64,-1833.21,26,131,271
3,12748.6,38731.6,-1.12E+03,58,234,1581
2,13538.3,48829.1,-2.70E+03,56,234,1581
3,7251.75,9506.14,-2503.95,11,123,621
3,5759.36,4255.85,-1410.84,128,88,318
4,10255.3,30859.5,-3032.92,99,171,1747
4,19308.4,162320,-8.65E+03,83,388,6290
0,8418.49,10420,-2232,39,110,401
4,12267.9,49389,-3.93E+03,38,234,2464
4,8032.13,13040.9,-2687.77,15,132,806
4,14391.7,96064.3,-5714.92,54,294,4249
2,5121.91,4281.14,-1.18E+03,15,79,317
3,5633.88,4438.51,-6.81E+02,19,88,292
0,5939.53,8625,-2332,14,108,585
4,16081.7,112581,-5.94E+03,53,322,4619
0,12973.2,50791,-6804,151,288,2328
0,18144.6,218780,-12032,88,447,7233
4,15214.5,94949.5,-5.24E+03,70,254,3885
5,9444.21,30464,-3250.84,120,171,1747
4,8767.21,10627.4,-2713.14,88,139,587
4,13075.3,103338,-5.04E+03,62,322,4619
0,14971.1,92023,-6598,67,335,4068
3,12353,90833.9,-5.74E+03,64,254,3885
5,7977.58,9545.25,-1.65E+03,27,102,516
3,5791.44,7312.67,-1645.11,48,93,545
4,11763.2,32682.7,-2.17E+03,35,166,1414
3,6734.29,5138.49,-2159.11,61,107,346
4,13051.4,61037.5,-4.34E+03,37,247,2754
0,30805,637046,-14927,89,705,14827
0,13912.4,121962,-4903,229,281,5516
0,16572.5,168956,-9115,81,355,6404
0,11316,84042,-4844,52,267,3971
2,12423.4,73424.8,-3.68E+03,26,249,3630
2,21962.2,410396,-9.32E+03,63,473,14125
0,26149.1,619413,-14503,164,599,19042
4,9224.22,20186,-3525.93,94,163,1162
4,6703.58,5142.7,-2139.09,63,107,346
3,13015.2,60956.4,-5.75E+03,34,247,2754
2,8423.76,12220,-2398.92,80,128,693
5,7595.79,10056.7,-2467.73,22,123,621
5,9865.62,30253.8,-3115.4,120,171,1747
0,9922.61,71160,-6263,20,208,3531
4,6992.33,6999.82,-2.33E+03,164,109,486
0,7104.82,9583,-2042,21,130,585
0,22769.7,251647,-10564,93,480,8610
0,17466.3,241417,-9446,56,378,7474
0,8930.44,26787,-5331,45,171,1521
3,9531.31,32884.9,-3570.96,62,176,1922
3,13167.6,91098.6,-5.14E+03,39,254,3885
5,7621.16,4741.53,-2675.46,40,131,271
3,13166.5,80354.3,-5.64E+03,60,272,3539
0,15232.1,75385,-8580,168,351,3061
5,14315.9,96066.6,-5583.14,68,294,4249
1,5506.14,4275.84,-1.60E+03,14,88,292
0,19438.1,197861,-13465,123,447,6529
2,8420.22,12042.1,-2599.6,84,128,693
4,11332.4,58615.2,-4285.35,121,217,2904
5,5508.43,1735.2,-1387.29,21,76,147
4,9792.49,51526.9,-3.11E+03,28,188,2599
0,11686.3,91434,-4859,56,258,3713
2,12599.6,40221,-7.70E+02,60,234,1581
2,3780,1447.86,-1013.62,42,52,133
2,8654.99,19949.9,-3509.87,86,163,1162
5,9555.74,30263.8,-3198.01,110,171,1747
4,10295.2,38131.6,-3835.82,25,193,2118
0,15127.5,77451,-6201,33,278,3220
3,7476.26,9269.14,-3106.97,29,138,554
5,5942.39,7527.33,-1847.72,67,104,457
0,11127.9,36442,-5757,104,196,1811
3,25378.2,275442,-9.18E+03,108,537,8350
3,9106.91,48180.2,-6.35E+03,20,216,2677
1,5846.36,5290.44,-7.60E+02,21,85,343
3,6780.95,5305.48,-2144.5,52,107,346
4,14123.4,92005.3,-5.25E+03,70,254,3885
3,9012.88,27051.9,-3.22E+03,24,156,1364
3,17234.3,160505,-7132.15,76,352,6744
0,12310.4,41739,-5500,146,264,1939
3,6805.59,5201.6,-2114.95,55,107,346
0,19219.9,190532,-10631,72,418,5749
0,12134,39778,-3428,43,216,1877
3,23184.5,284657,-1.47E+04,82,540,8870
0,4599.58,2800.85,-1402.57,46,77,205
0,6314.82,12564.9,-2372.69,74,123,726
0,13570.3,61823,-4751,64,242,2466
3,7452.73,14022,-2372.69,78,120,809
2,7547.61,9478.37,-3047.61,92,130,490
4,9179.22,22829,-2781.44,72,145,1156
0,8658.33,11848,-4309,58,119,519
5,9700.46,35170.1,-4453.43,126,208,1691
0,13848.5,146770,-8772,52,305,5635
3,5193.01,3067.31,-789.968,43,51,132
3,12733.7,79056.2,-5.29E+03,49,272,3539
0,6511.57,8111,-3585,20,112,518
4,24408.4,468188,-1.29E+04,48,483,15505
0,8943.03,29027,-3757,34,167,1628
5,10423.6,51483.1,-2.12E+03,32,188,2599
4,14367.8,101899,-5606.58,153,281,4061
2,20230.5,152387,-2.80E+03,90,449,5537
0,14296.8,66903,-6456,64,268,3131
3,7334.61,9193.9,-2989.94,22,138,554
3,9743.61,27891.6,-2857.6,89,158,1403
4,12381.9,57555.2,-2.31E+03,44,223,2822
0,10827.5,53313,-5463,117,233,2391
5,14688,83343.4,-2.43E+03,52,223,2822
3,9459.59,26308,-3365.97,42,174,1415
3,6451.51,10390.4,-2.31E+03,16,109,689
4,13854.4,47329.8,-5759.28,69,273,2061
0,4874.71,1397,-2042,31,73,115
0,7120.12,11385,-3334,25,131,656
0,8785.28,32344,-3126,10,180,1747
0,13588.9,78886,-8101,194,349,3625
3,8152.79,9435.84,-2980.83,19,138,554
3,10059.6,48255.1,-5.22E+03,22,216,2677
2,5641.91,4369.98,-8.60E+02,19,88,292
2,5121.27,3417.11,-810.546,50,51,132
4,8552.97,10786,-3157.32,34,156,654
0,10729.4,22956,-4078,64,172,1256
4,7014.7,4076.76,-2320.13,70,101,249
5,8799.61,11087.7,-3051.37,50,156,654
0,10345.8,15966,-4008,55,140,692
2,4831.07,2944.97,-1175.09,33,71,249
4,7038.84,4045.03,-2244.53,69,101,249
2,20183.7,410899,-1.13E+04,69,473,14125
5,6837.26,7729.31,-1629.46,52,104,457
3,10545.5,10717.8,-1.56E+03,36,154,587
4,21932,514740,-11794.9,136,540,18067
4,23921.5,279875,-1.38E+04,81,540,8870
5,4699.26,2375.78,-823.094,44,51,132
0,15423.7,147390,-6757,85,306,5840
5,9633.3,38010.5,-3636.54,49,180,2054
3,8663.97,17148.7,-2779.13,83,142,844
5,7448.52,9020.02,-1815.52,67,107,517
3,18630.6,162242,-9.92E+03,74,388,6290
4,9897.73,32931.2,-3525.95,82,176,1922
4,14182.4,69120.1,-4.03E+03,67,224,2192
2,5148.08,4134.59,-1.12E+03,10,79,317
0,26500.5,493345,-16684,113,661,14492
0,10123.5,21296,-4017,76,139,889
0,11542.8,17747,-4193,44,204,776
0,16461.3,99284,-6941,57,335,3808
3,8782.47,21769.9,-3.98E+02,17,166,1111
3,9561.04,28710.7,-2.43E+03,19,166,1414
0,15477.1,78491,-9026,46,361,3065
4,7318.6,4104.22,-2200.1,69,101,249
4,4880,4281.29,-1291.31,23,72,340
0,8629.68,29452,-4554,99,183,1633
5,7545.52,8681.2,-2.04E+03,26,102,516
0,6600.06,6047,-3461,6,109,399
3,12346.3,75061.6,-5.40E+03,22,249,3630
3,9220.97,52084.2,-2.96E+03,34,188,2599
0,4627.93,1589,-852,14,67,88
4,8487.96,25996.6,-2.77E+03,29,156,1364
2,13687.8,41202.7,-1.99E+03,53,234,1581
2,11682.8,67712.2,-2014.94,66,247,3373
3,11112.3,45152.5,-3.12E+03,47,223,2059
0,10435.1,32316,-5761,153,191,1634
3,24483.4,264517,-9.45E+03,93,537,8350
3,12882.5,59999.6,-5.63E+03,31,247,2754
0,8226.14,21719,-2917,79,157,1258
0,7027.26,9305,-2823,15,117,553
0,16184.2,214536,-7627,58,391,7711
2,10628,37791.9,-4164.72,122,205,1751
0,9796.62,43080,-3017,262,191,2254
3,4625.43,3951.31,-8.83E+02,13,79,317
0,18089.6,230148,-14894,236,479,8609
2,11380,112975,-3.95E+03,39,235,4905
2,12373.4,73215.5,-4.92E+03,30,249,3630
4,6578.22,8636.91,-1.78E+03,29,102,516
5,10663.4,27346.4,-4353.43,59,214,1469
4,7799.2,12865,-2802.87,15,132,806
0,17731.7,161903,-9202,86,388,5863
4,9653.03,26504.8,-3017.24,42,157,1519
0,15869.6,65937,-4913,132,270,2198
0,13867.9,173307,-6335,66,348,6737
2,4912.09,4302.43,-1.44E+03,12,79,317
3,9836.46,23313.1,2.19E+03,28,166,1111
3,8907.11,26106.8,-1.72E+03,28,156,1364
4,13962.6,46974,-5690.4,63,273,2061
4,11047.9,52792,-4348.23,29,215,2394
0,11397.3,27838,-2172,29,179,1262
0,7804.95,12759,-2981,34,160,770
0,11100.7,74089,-5664,129,230,3288
3,13829.1,141020,-5.53E+03,67,315,5844
4,5858.34,10850.4,-1876.73,20,102,764
2,8768.23,25152.4,-3100.25,41,157,1519
5,14738.9,107583,-6.66E+03,37,322,4619
4,7772.41,12772.7,-2716.53,14,132,806
1,5486.9,4366.86,-1.05E+03,16,85,343
0,18279.6,206970,-8591,282,350,6633
5,4316.36,2135.55,-980.095,16,54,165
3,5374.66,4369.12,-1.17E+03,11,79,317
5,12120.8,71581.3,-5767.48,26,262,3211
3,11249.9,37437.1,-2.15E+03,34,166,1414
1,11473.3,69099.5,-5224.18,148,247,3373
3,12755.7,60122.2,-5.51E+03,32,247,2754
2,17687.8,153683,-1.13E+04,79,449,5537
0,21364,344743,-12874,74,518,11581
2,22448.9,413592,-7.34E+03,61,473,14125
3,6206.1,7067.72,-1534.49,47,93,545
0,14283.4,204471,-7007,63,329,8077
3,13444.6,49277.4,-2.91E+03,43,223,2059
1,5342.41,4501.76,-1.02E+03,20,85,343
2,16482.2,160019,-7596.71,76,352,6744
0,7105.74,14564,-4610,39,144,932
4,10575.1,53717.5,-3.33E+03,31,188,2599
0,4281.2,922,-2398,5,66,76
2,9170.94,51142.3,-4.39E+03,27,188,2599
5,12750.3,70554.8,-5567.72,42,262,3211
4,5983,10952.5,-1935.74,19,102,764
1,7064.09,5586.58,-1.65E+03,16,79,292
0,27123.8,1179210,-18406,106,754,32298
2,6558.84,12050.2,-1841.75,8,105,765
3,9970.82,10564.7,-1.83E+03,37,154,587
4,8532.64,30168.9,-2025.78,50,132,1513
4,4904.25,1673.7,-779.278,4,51,102
0,6338.2,6219,-1375,19,108,425
0,7639.4,15450,-3204,286,146,890
0,17310.3,162885,-9381,187,391,6183
3,10914.5,85896.4,-2.27E+03,27,220,3450
2,15776.2,116251,-5.71E+03,58,271,4426
2,4918.02,4436.8,-1.57E+03,19,88,292
3,11324.7,27356.6,-4184.48,34,214,1469
0,19721.2,370210,-10704,274,415,11273
5,9071.16,38004.7,-3786.95,45,180,2054
5,9387.4,29811.5,-3346.97,125,171,1747
3,16010.8,119784,-4.20E+03,57,271,4426
4,17102.5,112744,-5.84E+03,45,322,4619
5,9508.86,29684.6,-3396.71,34,179,1626
0,15482.1,90020,-8011.41,189,327,3888
2,5200.77,4513.55,-7.27E+02,16,88,292
0,15303.2,151129,-7753,57,343,6293
3,4532.23,1948.96,-1041.71,4,63,166
4,9393.78,26700.8,-2914.17,102,158,1403
3,11205.1,33996.2,-1.29E+03,37,166,1414
3,11986.7,51362.1,-6.51E+03,32,215,2188
3,4157.96,1935.82,-1075.82,5,63,166
0,6811.65,10916,-2339,41,123,694
3,17829.6,195418,-7.50E+03,50,390,7459
2,7849.38,9144.2,-2923.52,19,138,554
4,3179.51,1146.49,-743.836,29,51,102
5,22449.5,278241,-9394.23,65,468,9276
2,6408.33,11871.8,-1805.38,8,105,765
5,3700.44,2140.08,-599.397,4,43,161
0,27834.8,417308,-12912,135,655,13004
3,21783.1,407050,-9.37E+03,64,473,14125
0,9331.67,26922,-6214,84,179,1468
3,5177.35,2995.31,-1199.06,36,77,205
0,10312.7,41455,-5077,67,204,1991
4,13496.3,51944.5,-6013.84,61,288,2334
2,6803.42,13822.1,-1516.81,13,96,804
5,9880.42,29588.7,-2.36E+03,33,156,1364
0,3661.27,2339,-1937,18,67,168
0,4588.25,993,-1056,15,67,66
3,6232.28,7311,-1543.9,45,93,545
4,9966.66,28839.1,-2.24E+03,46,166,1414
4,8974.14,13362.5,-2390.57,28,132,806
0,10869.5,37399,-3637,32,230,1877
2,2523.09,60.1734,-5.69E+02,92,33,5
4,5859.63,11122.5,-1910.62,31,102,764
3,24274.5,272854,-8.87E+03,96,537,8350
3,8177.65,12009.4,-2584.42,82,128,693
3,6748.28,10381.8,-2.62E+03,13,109,689
4,13599.6,60157.6,-2.22E+03,63,223,2822
3,13606.9,98597.5,-5949.65,164,281,4061
4,13092.8,46209.3,-5719.63,59,273,2061
5,12381,52737.5,-3.42E+03,42,224,2192
4,8914.25,20500.3,-3335.3,84,163,1162
0,4081.69,876,-717,19,50,52
0,10204.3,49787,-4462,72,234,2390
4,4121.09,2698.84,-1455.95,34,67,224
3,9398.65,39000.2,-2.51E+03,16,196,1885
2,13610.5,139564,-4.97E+03,47,315,5844
3,4424.06,2046.15,-1044.84,5,63,166
3,5531.23,4082.03,-1447.13,117,88,318
4,5998.84,11185.8,-1930.63,24,102,764
5,18496,202985,-6.63E+03,57,390,7459
3,16028,115845,-5.74E+03,52,271,4426
4,9995.91,34356.5,-4528.28,131,208,1691
2,18643.8,148006,-8.62E+03,77,449,5537
0,17907.4,266541,-8833,90,479,9409
5,13259,51906.9,-5991.34,55,288,2334
1,5814.04,5468.25,-1.55E+03,15,85,343
1,11812.9,68886.6,-3651.25,134,247,3373
1,2414.83,51.0642,-6.02E+02,13,33,5
2,6671.31,5218.64,-2.15E+03,10,79,292
3,9182.81,26707,-2.73E+03,31,156,1364
2,2489.96,54.6806,-2.13E+02,92,33,5
5,8867.34,38751.8,-3902.09,42,180,2054
0,7988.38,14283,-3637,58,150,768
3,18571.2,160977,-9.84E+03,91,388,6290
2,5090.44,4302.97,-1.40E+03,18,88,292
5,4332.09,1813.79,-1025.76,14,63,166
4,17391.1,146076,-7315.43,188,362,5847
4,9481.36,33987.7,-4514.05,125,208,1691
5,5133.72,4344.16,-1299.15,14,72,340
4,10616.5,28390.6,-4308.9,52,214,1469
2,4060.87,1455.59,-954.152,33,52,133
3,7581,9699.31,-2417.36,16,123,621
0,9009.22,35605,-3924,18,166,1575
0,19555.2,505467,-10840,49,446,18060
3,13627.4,91921.6,-5.65E+03,57,254,3885
3,9033.9,25247.8,-3163.68,31,157,1519
0,9750.84,25406,-4804,34,214,1415
1,5499.04,5181.29,-1.31E+03,21,85,343
0,5152.98,7211,-1977,35,80,546
2,5435.37,4330.96,-1.40E+03,16,88,292
2,5970.17,4926.44,5.66E+03,27,85,343
2,11673.7,113032,-3.29E+03,46,235,4905
3,8695.36,26406.6,-2.50E+03,25,156,1364
3,6112.12,10362.7,-3.33E+03,13,109,689
3,10316.9,32600,-3460.09,61,176,1922
2,9501.52,17468.2,-4126.55,33,183,931
0,12851.4,80768,-7079,136,334,3803
0,12435.3,95263,-6925,26,275,4064
0,27129.5,498056,-42736,135,556,13155
0,9525.41,68094,-4216,24,167,3041
3,8473.35,16824.5,-2652.14,67,142,844
4,15195.5,142061,-4.39E+03,60,315,5844
3,4054.12,1938.13,-1082.93,10,63,166
3,22462.9,163341,-7.11E+03,116,449,5537
3,6993.39,10456.1,-3.50E+03,15,109,689
0,17224.3,141954,-8455,52,368,5329
0,12549.8,104309,-6188,36,314,4721
0,15083.6,102916,-11667,247,412,4346
2,6533.86,13576.3,-1569.7,15,96,804
0,21865.4,294118,-13525,69,507,9960
4,6889.42,4093.13,-2458.71,64,101,249
4,15525,96477.8,-4.81E+03,63,254,3885
3,4901.94,4386.45,-1343.17,21,72,340
3,4680.68,3941.7,-1.27E+03,13,79,317
0,7192.66,8352,-1868,21,128,520
4,19314.2,341175,-1.02E+04,103,462,11563
3,24801.7,266621,-9.98E+03,68,540,8870
0,16650.6,104143,-5616,42,298,2831
4,8765.01,30699.1,-2101.44,31,132,1513
3,18626.6,161007,-7.79E+03,80,388,6290
4,13798.6,140416,-6364.12,186,308,6057
0,17952,186946,-8692,248,354,7097
5,11969.8,71478,-5681.96,45,262,3211
5,6977.22,9168.91,-1963.68,66,107,517
2,13513.3,50924.4,-4.65E+03,32,234,2464
4,9082.22,11238.5,-3071.6,37,156,654
0,7129.66,13621,-3598,11,131,845
3,8061.97,9607.71,-2324.73,98,130,490
5,13581.1,51267.6,-5625.48,65,288,2334
3,6460,11852.2,-1799.68,19,105,765
2,6525.98,13260.1,-1585.51,18,96,804
5,9519.26,30706.2,-3252.96,118,171,1747
0,6077.52,6643,-3353,48,109,376
4,4747.12,3395.31,-1145.96,17,71,249
2,5072.64,4267.92,-9.14E+02,20,88,292
0,14189.5,48760,-6319,49,270,2001
4,15298,108992,-6.38E+03,47,322,4619
0,11803.2,82563,-5875,36,229,3792
3,6479.45,10226.8,-3.77E+03,14,109,689
3,12466.1,105634,-6.25E+03,46,322,4619
3,4460.59,1964.87,-1026.35,5,63,166
3,10601.9,84817.3,-2.68E+03,15,220,3450
3,12746.3,98134.9,-2.49E+03,15,220,3450
5,9505.23,30807.8,-3166.37,101,171,1747
0,25677.8,378161,-17270,98,537,11893
0,18631,161918,-10829,106,494,6084
1,11384.5,68991.3,-5200.48,147,247,3373
2,5521.27,4430.75,-8.99E+02,15,88,292
4,10264.4,28254.5,-2.41E+03,27,194,1521
4,10494.5,39295.5,-3916.11,40,193,2118
1,5480.1,4256.74,-1.01E+03,13,88,292
2,23691,260378,-9.48E+03,105,537,8350
4,8122.63,13114.5,-2696.5,15,132,806
3,7970.29,7495.28,-1.24E+03,13,111,453
5,3620.42,2038.75,-581.082,9,43,161
3,7284.92,9642.95,-2446.82,22,123,621
3,7404.04,14542.1,-2334.56,87,120,809
5,9314.44,37731.5,-3660.81,44,180,2054
0,26932.8,517389,-14281,111,561,15002
0,12969.5,144165,-6278,28,305,5735
3,9571.69,39147.9,-3.38E+03,15,196,1885
0,9520.58,35222,-5901,96,184,1810
3,19800.5,227624,-8.74E+03,110,537,8350
4,5890.88,3370.76,-2.77E+03,15,86,205
5,4800.76,4094.85,-1335.22,27,72,340
5,7769.86,9279.69,-1.00E+03,25,102,516
3,8465.92,13581.3,-2832.43,19,148,729
0,14364.2,114310,-8381,207,356,4923
3,10257,28021.9,-2.11E+03,32,194,1521
2,20633.9,160155,-8.63E+03,93,449,5537
2,9151.31,20144.9,-3495.32,80,163,1162
0,5145.63,3675.37,-1862.75,47,85,269
2,3900.93,1490.51,-982.035,39,52,133
2,6410.16,5266.96,-2.21E+03,6,79,292
4,8342.16,9418.73,-2786.4,86,130,490
4,13416.9,77661.8,-5497.89,31,262,3211
0,24621.9,346757,-13928,100,634,10694
0,13693.2,148815,-7454,65,298,6508
2,22357.5,408588,-7.93E+03,163,473,14125
0,10123.4,34010,-4434,85,192,1685
0,13880.1,185099,-7718,149,285,7086
5,10008.9,52578.8,-1.69E+03,19,188,2599
3,13467.7,79140.1,-5.51E+03,60,272,3539
3,8229.7,12087.5,-2512.34,85,128,693
3,16657.3,162080,-7457.34,76,352,6744
2,5584.99,7540.72,-1894.44,75,104,457
5,9867.66,29165.1,-3.22E+03,45,194,1521
4,9185.92,20458.8,-3393.96,97,163,1162
4,13073.6,60694.8,-3.53E+03,36,247,2754
3,11366.3,49839.4,-4.56E+03,28,216,2677
2,9531.35,10266.3,-2.41E+03,37,154,587
2,10202.6,10314.3,-1.90E+03,39,154,587
5,9845.63,17166.7,-3831.21,76,172,973
0,17674.7,201592,-7906,74,389,7582
3,16056.7,116627,-4.73E+03,64,271,4426
4,9560.52,38209.5,-3754.59,34,180,2054
2,14515.3,140187,-5.13E+03,40,315,5844
4,23349,516237,-11398.4,124,540,18067
0,11094.6,31372,-3698,28,207,1026
4,9217.31,11580.2,-3028.48,42,156,654
0,15717,157351,-9659,255,381,6071
0,12795.8,96524,-7441,187,259,4246
3,9177.7,39007.9,-2.20E+03,21,196,1885
5,8228.85,4870.91,-2586.35,33,131,271
0,9550.66,50295,-3878,24,194,2520
1,2534.58,56.7712,-2.09E+02,8,33,5
3,18256.8,160939,-9.21E+03,88,388,6290
3,5180.96,3245.51,-1134.53,44,71,249
2,5449.69,4185.4,-1493.95,121,88,318
2,21995.3,410952,-9.18E+03,71,473,14125
0,14133.9,134184,-9907,250,329,5856
4,13755,96181.3,-461.511,58,294,4249
3,13571,90505,-5.92E+03,44,254,3885
2,12574.3,73529.7,-3.40E+03,18,249,3630
3,5426.73,4456.21,-1.45E+03,15,79,317
5,2705.37,67.6663,-4.52E+02,96,33,5
4,10729,35189.9,-4245.07,131,208,1691
0,8862.25,35392,-1897,87,181,2054
